"","charMA.DRUGBANK_ID","charMA.DRUG_GROUPS","charMA.GENERIC_NAME"
"CMP2610","DB03392","experimental","(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester"
"CMP2611","DB03396","experimental","(2R,3R,4S,5R,6E)-3,4,5-Trihydroxy-N-[(3S,6R)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide"
"CMP2612","DB03397","experimental","Uridine-Diphosphate-N-Acetylglucosamine"
"CMP2613","DB03399","experimental","Ethyl Isocyanide"
"CMP2614","DB03400","experimental","3-(P-Tolyl)Propionic Acid"
"CMP2615","DB03401","experimental","1D-myo-inositol 1,4,5-trisphosphate"
"CMP2616","DB03403","experimental","Cytidine-5'-Monophosphate"
"CMP2617","DB03406","experimental","O1-Methyl-4-Deoxy-4-Thio-Alpha-D-Glucose"
"CMP2618","DB03407","experimental","4-Nitrocatechol"
"CMP2619","DB03408","experimental","gamma-Glutamylcysteine"
"CMP2620","DB03409","experimental","L-Octahydroindole-2-carboxylic acid"
"CMP2621","DB03410","experimental","4-hydroxycoumarin"
"CMP2622","DB03411","experimental","2-Hydroxymethyl-Pyrrolidine-3,4-Diol"
"CMP2623","DB03412","experimental","6-hydroxynorleucine"
"CMP2624","DB03413","experimental","Deoxyuridine-5'-Diphosphate"
"CMP2625","DB03414","experimental","5-Thio-a/B-D-Mannopyranosylamine"
"CMP2626","DB03416","experimental","Thiamine(1+) monophosphate"
"CMP2627","DB03417","experimental","(2S,3R)-2-[[4-(Tert-butylcarbamoyl)piperazine-1-carbonyl]amino]-6-(diaminomethylideneamino)-3-formylhexanoic acid"
"CMP2628","DB03419","experimental; investigational","Uracil"
"CMP2629","DB03420","experimental","2,4-deoxy-4-guanidino-5-N-acetyl-neuraminic acid"
"CMP2630","DB03421","experimental","2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione"
"CMP2631","DB03422","experimental","1,3-Thiazole-4-Carboxylic Acid"
"CMP2632","DB03424","investigational","Ubenimex"
"CMP2633","DB03425","experimental","2s,4r-4-Methylglutamate"
"CMP2634","DB03427","experimental","delta-(L-alpha-Aminoadipoyl)-L-cysteinyl-D-vinylglycine"
"CMP2635","DB03428","experimental","SU9516"
"CMP2636","DB03430","experimental","(S)-4-hydroxymandelonitrile"
"CMP2637","DB03432","experimental","Beta-Amino Isobutyrate"
"CMP2638","DB03433","experimental","{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid"
"CMP2639","DB03434","experimental","3-(N-morpholino)propanesulfonic acid"
"CMP2640","DB03435","experimental","Uridine-5'-Diphosphate"
"CMP2641","DB03437","experimental","(2R,4S)-2-[(1R)-1-{[(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
"CMP2642","DB03439","experimental","4,6-dideoxy-4-amino-alpha-D-glucose"
"CMP2643","DB03441","experimental","2-Benzyl-3-Iodopropanoic Acid"
"CMP2644","DB03445","experimental","(3S)-3-(dioxidosulfanyl)-N-[(1E)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine"
"CMP2645","DB03446","experimental","N-Benzyl-3-(alpha-D-galactopyranosyloxy)benzamide"
"CMP2646","DB03447","experimental","Uridylyl-2'-5'-phospho-adenosine"
"CMP2647","DB03448","experimental","2'-Deoxyuridine 3'-Monophosphate"
"CMP2648","DB03449","experimental","N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide"
"CMP2649","DB03450","experimental","Cephalothin Group"
"CMP2650","DB03451","experimental","Lexacalcitol"
"CMP2651","DB03452","experimental","3-Trimethylsilylsuccinic Acid"
"CMP2652","DB03453","experimental","Methyl (2S)-2-[[2-[(3R)-1-carbamimidoylpiperidin-3-yl]acetyl]amino]-3-[4-(2-phenylethynyl)phenyl]propanoate"
"CMP2653","DB03454","experimental","3-methyl-benzene-1,2-diol"
"CMP2654","DB03455","experimental","(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid"
"CMP2655","DB03456","experimental","N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide"
"CMP2656","DB03458","experimental","N(4)-Adenosyl-N(4)-methyl-2,4-diaminobutanoic acid"
"CMP2657","DB03459","experimental","Sparfosic acid"
"CMP2658","DB03460","experimental","Violaxanthin"
"CMP2659","DB03461","experimental","Nicotinamide adenine dinucleotide phosphate"
"CMP2660","DB03462","experimental","Thymine"
"CMP2661","DB03464","experimental","Formycin-5'-Monophosphate"
"CMP2662","DB03466","experimental","BMS184394"
"CMP2663","DB03467","experimental","Naringenin"
"CMP2664","DB03468","experimental","1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide"
"CMP2665","DB03471","experimental","6-phenyl-4(R)-(7-phenyl-heptanoylamino)-hexanoic acid"
"CMP2666","DB03472","experimental","Cyclohexyl-Hexyl-Beta-D-Maltoside"
"CMP2667","DB03473","experimental","N5-Methylglutamine"
"CMP2668","DB03475","experimental","1-[4-Carboxy-2-(3-Pentylamino)Phenyl]-5,5'-Di(Hydroxymethyl)Pyrrolidin-2-One"
"CMP2669","DB03476","experimental","Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine"
"CMP2670","DB03477","experimental","1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole"
"CMP2671","DB03478","experimental","2'-O-Acetyl Adenosine-5-Diphosphoribose"
"CMP2672","DB03479","experimental","8,9,10-trihydroxy-7-hydroxymethyl-3-methyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione"
"CMP2673","DB03480","experimental","Brequinar Analog"
"CMP2674","DB03484","experimental","sn-glycero-3-phosphoethanolamine"
"CMP2675","DB03485","experimental","alpha-D-Fucopyranose"
"CMP2676","DB03486","experimental","Phosphomethylphosphonic acid guanosyl ester"
"CMP2677","DB03487","experimental","(S)-Aspartimide"
"CMP2678","DB03488","experimental","Uridine-5'-diphosphate-2-deoxy-2-fluoro-alpha-D-galactose"
"CMP2679","DB03489","experimental","2-Keto-3-Deoxygluconate"
"CMP2680","DB03490","experimental","3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole"
"CMP2681","DB03491","experimental","2'-Deoxyguanosine-5'-Diphosphate"
"CMP2682","DB03493","experimental","7-Methylguanosine"
"CMP2683","DB03495","experimental","4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1->4)-Alpha-D-Threo-Hexopyranosyl-(1->6)-Alpha-L-Threo-Hexopyranose"
"CMP2684","DB03496","experimental; investigational","Alvocidib"
"CMP2685","DB03497","experimental","L-serine O-sulfate"
"CMP2686","DB03498","experimental","Mercaptomethyl Phosphonate"
"CMP2687","DB03499","experimental","D-Malic acid"
"CMP2688","DB03501","experimental","Galactose-uridine-5'-diphosphate"
"CMP2689","DB03503","experimental","4-Acetyl-4-guanidino-6-methyl(propyl)carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid"
"CMP2690","DB03504","experimental","9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine"
"CMP2691","DB03505","experimental","2,6-diaminoquinazolin-4-ol"
"CMP2692","DB03506","experimental","5H-pyrrolo[3,2-d]pyrimidin-4-amine"
"CMP2693","DB03507","experimental","6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One"
"CMP2694","DB03508","experimental","Diethylene glycol ethyl methyl ether"
"CMP2695","DB03509","experimental","2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide"
"CMP2696","DB03510","experimental","6-O-Phosphoryl Inosine Monophosphate"
"CMP2697","DB03511","experimental","alpha-D-galacturonic acid"
"CMP2698","DB03514","experimental","4-Vinylguaiacol"
"CMP2699","DB03515","experimental","Equilenin"
"CMP2700","DB03516","investigational","Eniluracil"
"CMP2701","DB03517","experimental","[Methylthio]Acetate"
"CMP2702","DB03518","experimental","Mevalonic acid"
"CMP2703","DB03520","experimental","6-Chloro-2-fluoropurine"
"CMP2704","DB03522","experimental","Aspartic Acid-4-Carboxymethyl Ester"
"CMP2705","DB03523","experimental","Brequinar"
"CMP2706","DB03525","experimental","RU79073"
"CMP2707","DB03526","experimental","AL5927"
"CMP2708","DB03528","experimental","9-Beta-D-Xylofuranosyl-Adenine"
"CMP2709","DB03530","experimental","Acylated ceftazidime"
"CMP2710","DB03532","experimental","Phosphomethylphosphonic acid guanylate ester"
"CMP2711","DB03534","experimental","3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide"
"CMP2712","DB03535","experimental","Z-Pro-Prolinal"
"CMP2713","DB03536","experimental","Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate"
"CMP2714","DB03539","experimental","2-(Acetylamino)-2-Deoxy-6-O-Methyl-Alpha-D-Allopyranose"
"CMP2715","DB03540","experimental","Norcamphor"
"CMP2716","DB03541","experimental","10-Propargyl-5,8-Dideazafolic Acid"
"CMP2717","DB03543","experimental","1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate"
"CMP2718","DB03544","experimental","S-Phosphocysteine"
"CMP2719","DB03546","experimental","N-({4-[(1R)-4-[(2R,4S,5S)-2,4-diamino-6-oxohexahydropyrimidin-5-yl]-1-(2,2,2-trifluoro-1,1-dihydroxyethyl)butyl]phenyl}carbonyl)-L-glutamic acid"
"CMP2720","DB03548","experimental","3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid"
"CMP2721","DB03549","experimental","Biotinyl P-Nitroaniline"
"CMP2722","DB03550","experimental","Isopenicillin N"
"CMP2723","DB03552","experimental","3-Tyrosine"
"CMP2724","DB03553","experimental","Glutaric Acid"
"CMP2725","DB03554","experimental","5-Iodouracil"
"CMP2726","DB03558","experimental","SP-876"
"CMP2727","DB03559","experimental","Cyclohexylformamide"
"CMP2728","DB03560","experimental","P-Hydroxybenzaldehyde"
"CMP2729","DB03564","experimental","(4r)-2-Methylpentane-2,4-Diol"
"CMP2730","DB03566","experimental","Spermidine"
"CMP2731","DB03567","experimental; investigational","alpha-N-Acetyl-D-galactosamine"
"CMP2732","DB03568","experimental; investigational","Butyric Acid"
"CMP2733","DB03569","experimental","4,5-Dehydro-L-Iduronic Acid"
"CMP2734","DB03570","experimental","Tris-Hydroxymethyl-Methyl-Ammonium"
"CMP2735","DB03571","experimental","3-(5-amino-7-hydroxy-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(3,5-dichlorobenzyl)-benzamide"
"CMP2736","DB03572","experimental","FR230513"
"CMP2737","DB03573","experimental","WRR-99"
"CMP2738","DB03575","illicit","Phencyclidine"
"CMP2739","DB03576","experimental","N-Pyridoxyl-Threonine-5-Monophosphate"
"CMP2740","DB03577","experimental","Alpha-Benzyl-Aminobenzyl-Phosphonic Acid"
"CMP2741","DB03578","experimental","Pyruvamide"
"CMP2742","DB03581","experimental","Glucose-6-Phosphate"
"CMP2743","DB03582","experimental","N~2~-Succinylornithine"
"CMP2744","DB03583","experimental","(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one"
"CMP2745","DB03584","experimental","4-Thio-beta-D-glucopyranose"
"CMP2746","DB03585","approved; withdrawn","Oxyphenbutazone"
"CMP2747","DB03587","experimental","Pyruvaldehyde"
"CMP2748","DB03588","experimental","Diphenylacetic acid"
"CMP2749","DB03589","experimental","Mesoxalic acid"
"CMP2750","DB03590","experimental","2,6-Diaminopimelic Acid"
"CMP2751","DB03591","experimental","RU82209"
"CMP2752","DB03592","experimental","Pterin-6-Yl-Methyl-Monophosphate"
"CMP2753","DB03593","experimental","7-methyl-5'-guanylic acid"
"CMP2754","DB03594","experimental","1,2,4-Triazole"
"CMP2755","DB03596","experimental","N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide"
"CMP2756","DB03597","experimental","gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine"
"CMP2757","DB03598","experimental","Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]"
"CMP2758","DB03600","experimental","Capric acid"
"CMP2759","DB03601","experimental","5-deoxyflavanone"
"CMP2760","DB03602","experimental","S-benzylglutathione"
"CMP2761","DB03603","experimental","Glucaric acid"
"CMP2762","DB03604","investigational","Tiratricol"
"CMP2763","DB03605","experimental","(2s)-2-[(2,4-Dichloro-Benzoyl)-(3-Trifluoromethyl-Benzyl)-Amino]-3-Phenyl-Propionic Acid"
"CMP2764","DB03606","experimental","(S)-Rolipram"
"CMP2765","DB03608","experimental","Diminazene"
"CMP2766","DB03609","experimental","3'-deoxyguanosine"
"CMP2767","DB03610","experimental","4-(trifluoromethyl)phenol"
"CMP2768","DB03611","experimental","L-2-amino-4-methoxy-cis-but-3-enoic acid"
"CMP2769","DB03615","approved; experimental","Ribostamycin"
"CMP2770","DB03618","experimental","2-(acetylamino)-2-deoxy-4-O-beta-D-galactopyranosyl-alpha-D-glucopyranose"
"CMP2771","DB03619","approved","Deoxycholic acid"
"CMP2772","DB03622","experimental","5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione"
"CMP2773","DB03624","experimental","7-(Carboxyamino)-8-Amino-Nonanoic Acid"
"CMP2774","DB03626","experimental","5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione"
"CMP2775","DB03628","experimental","ISO24"
"CMP2776","DB03629","experimental","Pyridoxal-5'-Phosphate-N-Oxide"
"CMP2777","DB03630","experimental","2-Iodobenzylthio Group"
"CMP2778","DB03632","experimental","Argifin"
"CMP2779","DB03635","experimental","Ethanesulfonic acid"
"CMP2780","DB03636","experimental","Glycinamide"
"CMP2781","DB03637","experimental","Guanidine-3-propanol"
"CMP2782","DB03638","experimental","Cytidyl-2'-5'-phospho-guanosine"
"CMP2783","DB03639","experimental","1-Guanidinium-7-Aminoheptane"
"CMP2784","DB03640","experimental","Beta-Hydroxyaspartic Acid"
"CMP2785","DB03641","experimental","2'-deoxyuridine 5'-alpha,beta-imido-diphosphate"
"CMP2786","DB03642","experimental","N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide"
"CMP2787","DB03644","experimental","3-hydroxyanthranilic acid"
"CMP2788","DB03645","experimental","Phosphonoacetohydroxamic Acid"
"CMP2789","DB03647","experimental","3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid"
"CMP2790","DB03649","experimental","[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate"
"CMP2791","DB03650","experimental","(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One"
"CMP2792","DB03651","experimental","Picric acid"
"CMP2793","DB03652","experimental","beta-D-Galactopyranuronic acid"
"CMP2794","DB03653","experimental","5-{[Ethyl(Methyl)Amino]Methyl}-2-Methyl-5,6-Dihydropyrimidin-4-Amine"
"CMP2795","DB03654","experimental","S,S-Propylthiocysteine"
"CMP2796","DB03656","experimental","Tribenuron Methyl"
"CMP2797","DB03657","experimental","1-deoxy-1-methoxycarbamido-beta-D-glucopyranose"
"CMP2798","DB03658","experimental","(2R,4S)-2-[(1R)-1-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
"CMP2799","DB03659","experimental","Butylamine"
"CMP2800","DB03660","experimental","4-Iodo-L-phenylalanine"
"CMP2801","DB03661","experimental","L-cysteic acid"
"CMP2802","DB03662","experimental","Vitamin B6 Complexed with 2-Amino-Pentanoic Acid"
"CMP2803","DB03663","experimental","1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol"
"CMP2804","DB03666","experimental","Zidovudine monophosphate"
"CMP2805","DB03667","experimental","Acetic Acid Salicyloyl-Amino-Ester"
"CMP2806","DB03668","experimental","6-oxouridine 5'-phosphate"
"CMP2807","DB03669","experimental","4-Fluorophenethyl Alcohol"
"CMP2808","DB03670","experimental","2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid"
"CMP2809","DB03671","experimental","Digoxigenin"
"CMP2810","DB03672","experimental","9-N-Phenylmethylamino-Tacrine"
"CMP2811","DB03673","experimental","beta-2-Thienyl-L-alanine"
"CMP2812","DB03675","experimental","2,3-Dihydroxy-Valerianic Acid"
"CMP2813","DB03677","experimental","N-Cyclohexyl-N'-Decylurea"
"CMP2814","DB03678","experimental","(6,7-Difluoro-Quinazolin-4-Yl)-(1-Methyl-2,2-Diphenyl-Ethyl)-Amine"
"CMP2815","DB03679","experimental","2-Hydroxy-Tryptophan"
"CMP2816","DB03680","experimental","Tartronate"
"CMP2817","DB03682","experimental","Dibenzofuran-4,6-Dicarboxylic Acid"
"CMP2818","DB03683","experimental","2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid"
"CMP2819","DB03685","experimental","Uridine monophosphate"
"CMP2820","DB03686","experimental","S-(4-nitrobenzyl)glutathione"
"CMP2821","DB03687","experimental","4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol"
"CMP2822","DB03688","experimental","Hydracrylic acid"
"CMP2823","DB03691","experimental","WRR-112"
"CMP2824","DB03693","experimental","N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide"
"CMP2825","DB03694","experimental","N-phenylthiourea"
"CMP2826","DB03695","investigational","Piritrexim"
"CMP2827","DB03696","experimental","Lanosterol"
"CMP2828","DB03697","experimental","4-Sulfonamide-[1-(4-Aminobutane)]Benzamide"
"CMP2829","DB03700","experimental","D-Threonine"
"CMP2830","DB03701","investigational","Vanoxerine"
"CMP2831","DB03703","experimental","Cyclohexanol"
"CMP2832","DB03704","experimental","12-Hydroxydodecanoic Acid"
"CMP2833","DB03705","experimental","6-Methylamino-5-Nitroisocytosine"
"CMP2834","DB03707","experimental","S-Ethyl-N-Phenyl-Isothiourea"
"CMP2835","DB03708","experimental; investigational","Adenosine 5'-phosphosulfate"
"CMP2836","DB03709","experimental","Bicine"
"CMP2837","DB03710","experimental","[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium"
"CMP2838","DB03711","experimental","6-Hydroxy-6-Methyl-Heptan-3-One"
"CMP2839","DB03712","experimental","RU85053"
"CMP2840","DB03714","experimental","4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid"
"CMP2841","DB03716","experimental","5'-Fluoro-5'-Deoxyadenosine"
"CMP2842","DB03717","experimental","3-Hydroxy-4-(3,4,5-trihydroxy-tetrahydro-pyran-2-yloxy)-piperidin-2-one"
"CMP2843","DB03718","experimental","6-aza uridine 5'-monophosphate"
"CMP2844","DB03719","experimental","N-Ethyl-5'-Carboxamido Adenosine"
"CMP2845","DB03720","experimental","alpha,beta-Dehydroaminobutyric acid"
"CMP2846","DB03721","experimental","N-acetyl-alpha-neuraminic acid"
"CMP2847","DB03722","experimental","3,4-Dihydro-5-Methyl-Isoquinolinone"
"CMP2848","DB03723","experimental","2'-Deoxy-thymidine-beta-L-rhamnose"
"CMP2849","DB03724","experimental","(1s,2s)-1-Amino-1-(1,3-Thiazol-2-Yl)Propan-2-Ol"
"CMP2850","DB03725","experimental","5'-Guanylylmethylenebisphosphonate"
"CMP2851","DB03726","experimental","Purine Riboside-5'-Monophosphate"
"CMP2852","DB03728","experimental","p-Chlorobenzoic acid"
"CMP2853","DB03729","experimental","2-Amino-1H-benzimidazol-5-ol"
"CMP2854","DB03730","experimental","3,9-Dimethyladenine"
"CMP2855","DB03733","experimental","Ethylene Dichloride"
"CMP2856","DB03734","experimental","Xylarohydroxamate"
"CMP2857","DB03735","experimental","9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine"
"CMP2858","DB03736","experimental","2-Cyclopropylmethylenepropanal"
"CMP2859","DB03737","experimental","4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One"
"CMP2860","DB03738","experimental","Pantothenoylaminoethenethiol"
"CMP2861","DB03739","experimental","3-Hydroxyimino Quinic Acid"
"CMP2862","DB03740","experimental","N-acetyl-alpha-D-glucosamine"
"CMP2863","DB03741","experimental","2-Methylbutanoic Acid"
"CMP2864","DB03742","experimental","Compound 4-D"
"CMP2865","DB03744","experimental","Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate"
"CMP2866","DB03745","experimental","Arabinose-5-phosphate"
"CMP2867","DB03746","experimental","3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate"
"CMP2868","DB03747","experimental","N-Acetyl-glucosamine thiazoline"
"CMP2869","DB03750","experimental","Isovaleric Acid"
"CMP2870","DB03751","experimental","2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose"
"CMP2871","DB03752","experimental","P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid"
"CMP2872","DB03753","experimental","Flurbiprofen Methyl Ester"
"CMP2873","DB03754","approved","Tromethamine"
"CMP2874","DB03755","experimental","Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate"
"CMP2875","DB03756","approved; investigational","Doconexent"
"CMP2876","DB03757","experimental","N-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-alanyl-L-alaninamide"
"CMP2877","DB03758","experimental","Radicicol"
"CMP2878","DB03759","experimental","FG-9041"
"CMP2879","DB03760","experimental","Dihydrolipoic Acid"
"CMP2880","DB03761","experimental","5-fluoro-2'-deoxyuridine-5'-monophosphate"
"CMP2881","DB03763","experimental","5-methyl-2'-deoxypseudouridine"
"CMP2882","DB03764","experimental","4-Hydroperoxy-2-Methoxy-Phenol"
"CMP2883","DB03765","experimental","2'-cytidylic acid"
"CMP2884","DB03766","approved; vet_approved","Propanoic acid"
"CMP2885","DB03767","experimental","Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide"
"CMP2886","DB03768","experimental","N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3"
"CMP2887","DB03769","experimental","D-Eritadenine"
"CMP2888","DB03770","experimental","N-hydroxyguanidine"
"CMP2889","DB03771","experimental","Allyl-{4-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-but-2-Enyl}-Methyl-Amine"
"CMP2890","DB03772","experimental","2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol"
"CMP2891","DB03773","experimental","alpha-D-quinovopyranose"
"CMP2892","DB03774","experimental","Glutamyl Group"
"CMP2893","DB03775","experimental","Dethiobiotin"
"CMP2894","DB03776","experimental","Lactaldehyde"
"CMP2895","DB03777","experimental","Bisindolylmaleimide I"
"CMP2896","DB03780","experimental","2-Aminoquinazolin-4(3h)-One"
"CMP2897","DB03781","experimental","2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid"
"CMP2898","DB03782","experimental","N-(1-adamantyl)-N'-(4-guanidinobenzyl)urea"
"CMP2899","DB03783","withdrawn","Phenacetin"
"CMP2900","DB03784","experimental","Elaidamide"
"CMP2901","DB03785","experimental","Mevinolinic acid"
"CMP2902","DB03788","experimental","GC-24"
"CMP2903","DB03789","experimental","2,3-Dimethylimidazolium Ion"
"CMP2904","DB03790","experimental","L-methionine sulfone"
"CMP2905","DB03791","experimental","GW-3965"
"CMP2906","DB03792","experimental","5-Aminouracil"
"CMP2907","DB03793","approved; investigational","Benzoic acid"
"CMP2908","DB03794","experimental","Trifluoroalanine"
"CMP2909","DB03795","experimental","2-Dehydropantoate"
"CMP2910","DB03796","approved","Palmitic Acid"
"CMP2911","DB03797","experimental","3-Aminomethyl-Pyridinium-Adenine-Dinucleotide"
"CMP2912","DB03798","experimental","2'-Deoxycytidine-5'-Monophosphate"
"CMP2913","DB03799","experimental","Trifluoromethionine"
"CMP2914","DB03800","experimental","Deoxyuridine monophosphate"
"CMP2915","DB03801","experimental","Lysine Nz-Carboxylic Acid"
"CMP2916","DB03802","experimental","1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol"
"CMP2917","DB03804","experimental","5-Bromothienyldeoxyuridine"
"CMP2918","DB03807","experimental","1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester"
"CMP2919","DB03808","approved; experimental","Hexamidine"
"CMP2920","DB03809","experimental","9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine"
"CMP2921","DB03810","experimental","3-Methylglutamic acid"
"CMP2922","DB03811","experimental","Histidinol"
"CMP2923","DB03812","experimental","3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate"
"CMP2924","DB03813","experimental","2-Decenoyl N-Acetyl Cysteamine"
"CMP2925","DB03814","experimental","2-(N-morpholino)ethanesulfonic acid"
"CMP2926","DB03815","experimental","Fucitol"
"CMP2927","DB03816","experimental","Difluoromethionine"
"CMP2928","DB03817","experimental","L-2,4-diaminobutyric acid"
"CMP2929","DB03818","experimental","N-[Tosyl-D-Prolinyl]Amino-Ethanethiol"
"CMP2930","DB03819","experimental","Salicylhydroxamic Acid"
"CMP2931","DB03820","experimental","(2S,5R,6R)-6-({(6S)-6-[(Ammonioacetyl)amino]-6-carboxylatohexanoyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
"CMP2932","DB03821","experimental","2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid"
"CMP2933","DB03822","experimental","Ethyl dihydrogen phosphate"
"CMP2934","DB03823","experimental; investigational","Epigallocatechin"
"CMP2935","DB03824","experimental","7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline"
"CMP2936","DB03826","experimental","5,6-Diaminouracil"
"CMP2937","DB03828","experimental","RU78299"
"CMP2938","DB03829","experimental","Pseudouridine-5'-Monophosphate"
"CMP2939","DB03830","experimental","Phosphorylated Dihydropteroate"
"CMP2940","DB03832","experimental","3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium"
